short	colloquial name	scientific name	short scientific name	code	include	merge into	exclusuion reason	Family	Origin
X	Coregonus lavaretus	Coregonus lavaretus		127180			too few samples
X	Alosa fallax	Alosa fallax		126415			too few samples
X	Pollachius pollachius	Pollachius pollachius		126440			too few samples
X	125988	125988		125988			too few samples
X	129840	129840		129840			too few samples
X	Leptoclinus maculatus	Leptoclinus maculatus		127072			too few samples
X	126227	126227		126227			too few samples
X	Argentina sphyraena	Argentina sphyraena		126716			too few samples
X	Rutilus rutilus	Rutilus rutilus		154333			too few samples
X	Perca fluviatilis	Perca fluviatilis		151353			too few samples
X	107276	107276		107276			too few samples
X	Labrus bergylta	Labrus bergylta		126965			too few samples
X	Coregonus albula	Coregonus albula		127178			too few samples
X	Callionymus lyra	Callionymus lyra		126792			too few samples
X	125464	125464		125464			too few samples
X	273571	273571		273571			too few samples
X	Trisopterus esmarkii	Trisopterus esmarkii		126444			too few samples
X	125606	125606		125606			too few samples
X	Syngnathus acus	Syngnathus acus		127387			too few samples
X	107649	107649		107649			too few samples
X	Entelurus aequoreus	Entelurus aequoreus		127379			too few samples
X	Gymnocephalus cernua	Gymnocephalus cernua		405451			too few samples
X	127126	127126		127126			too few samples
X	234519	234519		234519			too few samples
