x_lon,y_lat,depth,dts,dto,reg,srn,exclude
14.581250000000011,53.57291666666666,1.0,9.081340508703912,523.8053169545627,24.0,36G4,5
14.71875,53.57291666666666,1.0,9.081340508702024,529.3150075015434,24.0,36G4,5
14.581250000000011,53.65625,3.0,9.06343335753677,516.393391723271,24.0,36G4,5
14.168749999999989,53.73958333333334,1.0,9.045507033613998,494.39758096298067,24.0,36G4,5
13.893750000000011,53.82291666666666,2.0,9.027561574856922,481.5594521266839,24.0,36G3,5
14.03125,53.82291666666666,5.0,9.268861880923033,482.7622813143148,24.0,36G4,5
14.168749999999989,53.82291666666666,5.0,9.027561574856922,485.92725792687145,24.0,36G4,5
14.581250000000011,53.82291666666666,1.0,9.027561574855042,503.1746166274837,24.0,36G4,5
10.731249999999989,53.90625,1.0,9.009597019221818,426.08053079640354,22.0,36G0,0
13.893750000000011,53.90625,1.0,9.009597019221715,472.2919142521224,24.0,36G3,5
11.28125,53.98958333333334,6.0,8.991613404716228,418.0912166680639,22.0,36G1,0
13.893750000000011,53.98958333333334,4.0,8.9916134047181,463.0256997559982,24.0,36G3,0
14.03125,53.98958333333334,4.0,9.268861880925863,465.31816038729545,24.0,36G4,0
14.168749999999989,53.98958333333334,10.0,9.268861880925863,470.6632991271932,24.0,36G4,0
14.306250000000006,53.98958333333334,11.0,9.268861880925863,477.6153392145345,24.0,36G4,0
14.443749999999994,53.98958333333334,13.0,9.268861880925863,483.35362506970097,24.0,36G4,5
14.581250000000011,53.98958333333334,7.0,8.991613404716228,490.0713096527682,24.0,36G4,5
14.71875,53.98958333333334,-0.0,0.0,496.03385091728967,24.0,36G4,5
14.856249999999989,53.98958333333334,-0.0,0.0,502.61432628110657,24.0,36G4,5
19.39375000000001,53.98958333333334,-0.0,0.0,771.364738910303,26.0,36G9,3
10.910416666666663,54.07291666666666,21.0,9.24553827894847,407.51089504739844,22.0,37G0,0
11.052083333333343,54.07291666666666,23.0,9.740485357436974,407.51089504739844,22.0,37G1,0
11.193749999999994,54.07291666666666,22.0,9.827573159206967,408.07585327422197,22.0,37G1,0
11.335416666666674,54.07291666666666,10.0,10.749372210068715,409.7456588175526,22.0,37G1,0
11.477083333333326,54.07291666666666,6.0,9.245538278950233,412.4503574642658,22.0,37G1,0
13.885416666666657,54.07291666666666,1.0,9.24553827894847,451.4768437476012,24.0,37G3,0
14.027083333333337,54.07291666666666,10.0,18.491067292160086,457.56511138946,24.0,37G4,0
14.168749999999989,54.07291666666666,15.0,18.537723761848188,465.1474820976299,24.0,37G4,0
14.310416666666669,54.07291666666666,13.0,18.539726091631078,470.6370866467876,24.0,37G4,0
14.45208333333332,54.07291666666666,13.0,18.54573178385785,477.7947771083656,24.0,37G4,0
14.59375,54.07291666666666,10.0,12.352954958809088,483.69589552292354,24.0,37G4,5
14.735416666666652,54.07291666666666,14.0,9.332592822616117,490.66045672478975,24.0,37G4,5
14.877083333333331,54.07291666666666,13.0,9.245538278950233,498.3066350383253,24.0,37G4,5
19.26875000000001,54.07291666666666,1.0,9.245538278950441,759.056587149429,26.0,37G9,3
19.410416666666663,54.07291666666666,1.0,9.245538278950233,764.798335072564,26.0,37G9,3
11.052083333333343,54.15625,18.0,9.22697055122108,398.24203316647254,22.0,37G1,0
11.193749999999994,54.15625,22.0,18.453931835828243,398.8856619488304,22.0,37G1,0
11.335416666666674,54.15625,25.0,19.31902988737949,400.7796890546099,22.0,37G1,0
11.477083333333326,54.15625,22.0,13.08511138945992,403.82334865720793,22.0,37G1,0
11.618750000000006,54.15625,15.0,9.268861880925863,407.8758893848264,22.0,37G1,0
11.760416666666657,54.15625,3.0,9.268861880925863,412.4309155386068,22.0,37G1,0
11.902083333333337,54.15625,4.0,9.226970551219214,409.7367125706706,22.0,37G1,0
13.460416666666674,54.15625,4.0,9.226970551220974,428.483991826649,24.0,37G3,0
13.602083333333326,54.15625,8.0,9.268861880925863,433.20006482252654,24.0,37G3,0
13.743750000000006,54.15625,3.0,9.268861880925863,438.5011901071806,24.0,37G3,0
13.885416666666657,54.15625,10.0,13.085111389458675,444.3035142513063,24.0,37G3,0
14.027083333333337,54.15625,12.0,20.667482097629982,450.53258190734516,24.0,37G4,0
14.168749999999989,54.15625,14.0,27.806585642774053,457.55200489983247,24.0,37G4,0
14.310416666666669,54.15625,14.0,27.807917890838425,465.11427985225646,24.0,37G4,0
14.45208333333332,54.15625,14.0,25.42680996920724,470.6108731334197,24.0,37G4,0
14.59375,54.15625,13.0,20.253321902153687,477.7484597060181,24.0,37G4,0
14.735416666666652,54.15625,13.0,18.56960718331522,485.7152161926966,24.0,37G4,0
14.877083333333331,54.15625,18.0,13.08511138945992,494.1134370259017,24.0,37G4,0
15.018750000000011,54.15625,19.0,9.268861880925863,502.7568598045963,25.0,37G5,3
15.160416666666663,54.15625,14.0,9.268861880925863,509.7083555431011,25.0,37G5,3
15.302083333333343,54.15625,7.0,9.22697055121911,516.4645970376056,25.0,37G5,3
18.98541666666665,54.15625,-0.0,0.0,741.2358893848264,26.0,37G8,3
19.12708333333333,54.15625,1.0,9.226970551221182,746.1430123770053,26.0,37G9,3
11.052083333333343,54.23958333333334,1.0,9.208383304789498,388.97317128554744,22.0,37G1,0
11.193749999999994,54.23958333333334,14.0,13.058897948425134,389.7212411290538,22.0,37G1,0
11.335416666666674,54.23958333333334,21.0,20.6010562784916,391.9081272612103,22.0,37G1,0
11.477083333333326,54.23958333333334,23.0,20.70709498378372,395.38180999466533,22.0,37G1,0
11.618750000000006,54.23958333333334,25.0,18.53772376185102,399.94117551248246,22.0,37G1,0
11.760416666666657,54.23958333333334,25.0,18.53772376185102,403.8015367142427,22.0,37G1,0
11.902083333333337,54.23958333333334,19.0,13.072004899832507,400.7695580121178,22.0,37G1,0
12.043749999999989,54.23958333333334,15.0,9.268861880925156,398.883056121144,24.0,37G2,0
12.185416666666669,54.23958333333334,3.0,9.208383304787533,398.24203316646975,24.0,37G2,0
12.32708333333332,54.23958333333334,-0.0,0.0,398.24203316646975,24.0,37G2,3
13.318749999999994,54.23958333333334,-0.0,0.0,416.02242575592396,24.0,37G3,3
13.460416666666674,54.23958333333334,7.0,9.208383304789395,420.4453091360706,24.0,37G3,0
13.602083333333326,54.23958333333334,7.0,13.058897948425205,425.5633516625505,24.0,37G3,0
13.743750000000006,54.23958333333334,5.0,18.53772376185102,431.2675782471753,24.0,37G3,0
13.885416666666657,54.23958333333334,4.0,20.707094983782934,437.46165285047016,24.0,37G3,0
14.027083333333337,54.23958333333334,11.0,26.157086646787658,444.0633591271377,24.0,37G4,0
14.168749999999989,54.23958333333334,15.0,33.31477710836567,450.41460724581907,24.0,37G4,0
14.310416666666669,54.23958333333334,15.0,37.07644470987888,457.53889794842655,24.0,37G4,0
14.45208333333332,54.23958333333334,7.0,32.79439089151219,465.08105627849164,24.0,37G4,0
14.59375,54.23958333333334,14.0,28.976233482542806,473.5921433426335,24.0,37G4,0
14.735416666666652,54.23958333333334,16.0,26.15708664678883,482.4256614275621,24.0,37G4,0
14.877083333333331,54.23958333333334,18.0,20.70709498378372,490.5416982129469,24.0,37G4,0
15.018750000000011,54.23958333333334,16.0,18.53772376185102,496.63664851734256,25.0,37G5,0
15.160416666666663,54.23958333333334,14.0,18.53772376185102,503.4484758628668,25.0,37G5,0
15.302083333333343,54.23958333333334,12.0,13.072004899832436,509.6428169177469,25.0,37G5,0
15.443749999999994,54.23958333333334,13.0,9.268861880925156,516.3790715176259,25.0,37G5,3
15.585416666666674,54.23958333333334,14.0,9.268861880925156,522.6357273213613,25.0,37G5,3
15.727083333333326,54.23958333333334,10.0,9.208383304789395,529.31647617277,25.0,37G5,3
16.152083333333337,54.23958333333334,-0.0,0.0,548.5816528504702,25.0,37G6,3
18.70208333333332,54.23958333333334,1.0,9.208383304787533,725.2681272612102,26.0,37G8,3
18.98541666666665,54.23958333333334,1.0,9.208383304787533,733.3011755124825,26.0,37G8,3
19.12708333333333,54.23958333333334,1.0,13.058897948426587,738.7403088254958,26.0,37G9,0
19.26875000000001,54.23958333333334,1.0,9.208383304787533,744.8757273213613,26.0,37G9,3
10.627083333333331,54.32291666666666,2.0,9.189776578975053,379.7043094046244,22.0,37G0,0
10.768750000000011,54.32291666666666,14.0,9.189776578973195,379.7043094046244,22.0,37G0,0
11.193749999999994,54.32291666666666,16.0,9.189776578973092,380.59759216790474,22.0,37G1,0
